Series,Issues,Cover Date,On Sale Date
Tales of Suspense (1959 - 1968),58,Oct. 1964,1964-10-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),59,Nov. 1964,1964-11-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),60,Dec. 1964,1964-12-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),61,Jan. 1965,1965-01-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),62,Feb. 1965,1965-02-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),63,Mar. 1965,1965-03-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),64,Apr. 1965,1965-04-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),65,May. 1965,1965-05-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),66,Jun. 1965,1965-06-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),67,Jul. 1965,1965-07-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),68,Aug. 1965,1965-08-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),69,Sep. 1965,1965-09-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),70,Oct. 1965,1965-10-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),71,Nov. 1965,1965-11-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),72,Dec. 1965,1965-12-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),73,Jan. 1966,1966-01-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),74,Feb. 1966,1966-02-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),75,Mar. 1966,1966-03-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),76,Apr. 1966,1966-04-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),77,May. 1966,1966-05-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),78,Jun. 1966,1966-06-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),79,Jul. 1966,1966-07-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),80,Aug. 1966,1966-08-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),81,Sep. 1966,1966-09-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),82,Oct. 1966,1966-10-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),83,Nov. 1966,1966-11-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),84,Dec. 1966,1966-12-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),85,Jan. 1967,1967-01-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),86,Feb. 1967,1967-02-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),87,Mar. 1967,1967-03-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),88,Apr. 1967,1967-04-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),89,May. 1967,1967-05-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),90,Jun. 1967,1967-06-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),91,Jul. 1967,1967-07-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),92,Aug. 1967,1967-08-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),93,Sep. 1967,1967-09-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),94,Oct. 1967,1967-10-01 04:00:00+00:00
Tales of Suspense (1959 - 1968),95,Nov. 1967,1967-11-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),96,Dec. 1967,1967-12-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),97,Jan. 1968,1968-01-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),98,Feb. 1968,1968-02-01 05:00:00+00:00
Tales of Suspense (1959 - 1968),99,Mar. 1968,1968-03-01 05:00:00+00:00
Captain America (1968 - 1996),100,Apr. 1968,1968-04-01 05:00:00+00:00
Captain America (1968 - 1996),101,May. 1968,1968-05-01 04:00:00+00:00
Captain America (1968 - 1996),102,Jun. 1968,1968-06-01 04:00:00+00:00
Captain America (1968 - 1996),103,Jul. 1968,1968-07-01 04:00:00+00:00
Captain America (1968 - 1996),104,Aug. 1968,1968-08-01 04:00:00+00:00
Captain America (1968 - 1996),105,Sep. 1968,1968-09-01 04:00:00+00:00
Captain America (1968 - 1996),106,Oct. 1968,1968-10-01 04:00:00+00:00
Captain America (1968 - 1996),107,Nov. 1968,1968-11-01 05:00:00+00:00
Captain America (1968 - 1996),108,Dec. 1968,1968-12-01 05:00:00+00:00
Captain America (1968 - 1996),109,Jan. 1969,1969-01-01 05:00:00+00:00
Captain America (1968 - 1996),110,Feb. 1969,1969-02-01 05:00:00+00:00
Captain America (1968 - 1996),111,Mar. 1969,1969-03-01 05:00:00+00:00
Captain America (1968 - 1996),112,Apr. 1969,1969-04-01 05:00:00+00:00
Captain America (1968 - 1996),113,May. 1969,1969-05-01 04:00:00+00:00
Captain America (1968 - 1996),114,Jun. 1969,1969-06-01 04:00:00+00:00
Captain America (1968 - 1996),115,Jul. 1969,1969-07-01 04:00:00+00:00
Captain America (1968 - 1996),116,Aug. 1969,1969-08-01 04:00:00+00:00
Captain America (1968 - 1996),117,Sep. 1969,1969-09-01 04:00:00+00:00
Captain America (1968 - 1996),118,Oct. 1969,1969-10-01 04:00:00+00:00
Captain America (1968 - 1996),119,Nov. 1969,1969-11-01 05:00:00+00:00
Captain America (1968 - 1996),120,Dec. 1969,1969-12-01 05:00:00+00:00
Captain America (1968 - 1996),121,Jan. 1970,1970-01-01 05:00:00+00:00
Captain America (1968 - 1996),122,Feb. 1970,1970-02-01 05:00:00+00:00
Captain America (1968 - 1996),123,Mar. 1970,1970-03-01 05:00:00+00:00
Captain America (1968 - 1996),124,Apr. 1970,1970-04-01 05:00:00+00:00
Captain America (1968 - 1996),125,May. 1970,1970-05-01 04:00:00+00:00
Captain America (1968 - 1996),126,Jun. 1970,1970-06-01 04:00:00+00:00
Captain America (1968 - 1996),127,Jul. 1970,1970-07-01 04:00:00+00:00
Captain America (1968 - 1996),128,Aug. 1970,1970-08-01 04:00:00+00:00
Captain America (1968 - 1996),129,Sep. 1970,1970-09-01 04:00:00+00:00
Captain America (1968 - 1996),130,Oct. 1970,1970-10-01 04:00:00+00:00
Captain America (1968 - 1996),131,Nov. 1970,1970-11-01 05:00:00+00:00
Captain America (1968 - 1996),132,Dec. 1970,1970-12-01 05:00:00+00:00
Captain America (1968 - 1996),133,Jan. 1971,1971-01-01 05:00:00+00:00
Captain America Annual (1971 - 1991),1,Jan. 1971,1971-01-10 05:00:00+00:00
Captain America (1968 - 1996),134,Feb. 1971,1971-02-01 05:00:00+00:00
Captain America (1968 - 1996),135,Mar. 1971,1971-03-01 05:00:00+00:00
Captain America (1968 - 1996),136,Apr. 1971,1971-04-01 05:00:00+00:00
Captain America (1968 - 1996),137,May. 1971,1971-05-01 04:00:00+00:00
Captain America (1968 - 1996),138,Jun. 1971,1971-06-01 04:00:00+00:00
Captain America (1968 - 1996),139,Jul. 1971,1971-07-01 04:00:00+00:00
Captain America (1968 - 1996),140,Aug. 1971,1971-08-01 04:00:00+00:00
Captain America (1968 - 1996),141,Sep. 1971,1971-09-01 04:00:00+00:00
Captain America (1968 - 1996),142,Oct. 1971,1971-10-01 04:00:00+00:00
Captain America (1968 - 1996),143,Nov. 1971,1971-11-01 05:00:00+00:00
Captain America (1968 - 1996),144,Dec. 1971,1971-12-01 05:00:00+00:00
Captain America (1968 - 1996),145,Jan. 1972,1972-01-01 05:00:00+00:00
Captain America Annual (1971 - 1991),2,Jan. 1972,1972-01-10 05:00:00+00:00
Captain America (1968 - 1996),146,Feb. 1972,1972-02-01 05:00:00+00:00
Captain America (1968 - 1996),147,Mar. 1972,1972-03-01 05:00:00+00:00
Captain America (1968 - 1996),148,Apr. 1972,1972-04-01 05:00:00+00:00
Captain America (1968 - 1996),149,May. 1972,1972-05-01 04:00:00+00:00
Captain America (1968 - 1996),150,Jun. 1972,1972-06-01 04:00:00+00:00
Captain America (1968 - 1996),151,Jul. 1972,1972-07-01 04:00:00+00:00
Captain America (1968 - 1996),152,Aug. 1972,1972-08-01 04:00:00+00:00
Captain America (1968 - 1996),153,Sep. 1972,1972-09-01 04:00:00+00:00
Captain America (1968 - 1996),154,Oct. 1972,1972-10-01 04:00:00+00:00
Captain America (1968 - 1996),155,Nov. 1972,1972-11-01 05:00:00+00:00
Captain America (1968 - 1996),156,Dec. 1972,1972-12-01 05:00:00+00:00
Captain America (1968 - 1996),157,Jan. 1973,1973-01-01 05:00:00+00:00
Captain America (1968 - 1996),158,Feb. 1973,1973-02-01 05:00:00+00:00
Captain America (1968 - 1996),159,Mar. 1973,1973-03-01 05:00:00+00:00
Captain America (1968 - 1996),160,Apr. 1973,1973-04-01 05:00:00+00:00
Captain America (1968 - 1996),161,May. 1973,1973-05-01 04:00:00+00:00
Captain America (1968 - 1996),162,Jun. 1973,1973-06-01 04:00:00+00:00
Captain America (1968 - 1996),163,Jul. 1973,1973-07-01 04:00:00+00:00
Captain America (1968 - 1996),164,Aug. 1973,1973-08-01 04:00:00+00:00
