Series,Issues,Cover Date,On Sale Date
Fantastic Four (1961 - 1998),1,Nov. 1961,1961-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),2,Jan. 1962,1962-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),3,Mar. 1962,1962-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),4,May. 1962,1962-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),5,Jul. 1962,1962-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),6,Sep. 1962,1962-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),7,Oct. 1962,1962-10-01 04:00:00+00:00
Fantastic Four (1961 - 1998),8,Nov. 1962,1962-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),9,Dec. 1962,1962-12-01 05:00:00+00:00
Fantastic Four (1961 - 1998),10,Jan. 1963,1963-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),11,Feb. 1963,1963-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),12,Mar. 1963,1963-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),13,Apr. 1963,1963-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),14,May. 1963,1963-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),15,Jun. 1963,1963-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),16,Jul. 1963,1963-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),17,Aug. 1963,1963-08-01 04:00:00+00:00
Fantastic Four Annual (1963 - 1994),1,Sep. 1963,1963-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),18,Sep. 1963,1963-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),19,Oct. 1963,1963-10-01 04:00:00+00:00
Fantastic Four (1961 - 1998),20,Nov. 1963,1963-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),21,Dec. 1963,1963-12-01 05:00:00+00:00
Fantastic Four (1961 - 1998),22,Jan. 1964,1964-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),23,Feb. 1964,1964-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),24,Mar. 1964,1964-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),25,Apr. 1964,1964-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),26,May. 1964,1964-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),27,Jun. 1964,1964-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),28,Jul. 1964,1964-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),29,Aug. 1964,1964-08-01 04:00:00+00:00
Fantastic Four Annual (1963 - 1994),2,Sep. 1964,1964-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),30,Sep. 1964,1964-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),31,Oct. 1964,1964-10-01 04:00:00+00:00
Fantastic Four (1961 - 1998),32,Nov. 1964,1964-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),33,Dec. 1964,1964-12-01 05:00:00+00:00
Fantastic Four (1961 - 1998),34,Jan. 1965,1965-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),35,Feb. 1965,1965-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),36,Mar. 1965,1965-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),37,Apr. 1965,1965-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),38,May. 1965,1965-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),39,Jun. 1965,1965-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),40,Jul. 1965,1965-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),41,Aug. 1965,1965-08-01 04:00:00+00:00
Fantastic Four (1961 - 1998),42,Sep. 1965,1965-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),43,Oct. 1965,1965-10-01 04:00:00+00:00
Fantastic Four Annual (1963 - 1994),3,Oct. 1965,1965-10-01 04:00:00+00:00
Fantastic Four (1961 - 1998),44,Nov. 1965,1965-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),45,Dec. 1965,1965-12-01 05:00:00+00:00
Fantastic Four (1961 - 1998),46,Jan. 1966,1966-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),47,Feb. 1966,1966-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),48,Mar. 1966,1966-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),49,Apr. 1966,1966-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),50,May. 1966,1966-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),51,Jun. 1966,1966-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),52,Jul. 1966,1966-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),53,Aug. 1966,1966-08-01 04:00:00+00:00
Fantastic Four (1961 - 1998),54,Sep. 1966,1966-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),55,Oct. 1966,1966-10-01 04:00:00+00:00
Fantastic Four (1961 - 1998),56,Nov. 1966,1966-11-01 05:00:00+00:00
Fantastic Four Annual (1963 - 1994),4,Nov. 1966,1966-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),57,Dec. 1966,1966-12-01 05:00:00+00:00
Fantastic Four (1961 - 1998),58,Jan. 1967,1967-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),59,Feb. 1967,1967-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),60,Mar. 1967,1967-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),61,Apr. 1967,1967-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),62,May. 1967,1967-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),63,Jun. 1967,1967-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),64,Jul. 1967,1967-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),65,Aug. 1967,1967-08-01 04:00:00+00:00
Fantastic Four (1961 - 1998),66,Sep. 1967,1967-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),67,Oct. 1967,1967-10-01 04:00:00+00:00
Fantastic Four (1961 - 1998),68,Nov. 1967,1967-11-01 05:00:00+00:00
