Series,Issues,Cover Date,On Sale Date
Amazing Fantasy (1962),15,Aug. 1962,1962-08-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),1,Mar. 1963,1963-03-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),2,May. 1963,1963-05-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),3,Jul. 1963,1963-07-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),4,Sep. 1963,1963-09-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),5,Oct. 1963,1963-10-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),6,Nov. 1963,1963-11-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),7,Dec. 1963,1963-12-10 05:00:00+00:00
Amazing Spider-Man Annual (1964 - 2018),1,Jan. 1964,1964-01-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),8,Jan. 1964,1964-01-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),9,Feb. 1964,1964-02-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),10,Mar. 1964,1964-03-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),11,Apr. 1964,1964-04-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),12,May. 1964,1964-05-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),13,Jun. 1964,1964-06-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),14,Jul. 1964,1964-07-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),15,Aug. 1964,1964-08-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),16,Sep. 1964,1964-09-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),17,Oct. 1964,1964-10-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),18,Nov. 1964,1964-11-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),19,Dec. 1964,1964-12-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),20,Jan. 1965,1965-01-01 05:00:00+00:00
Amazing Spider-Man Annual (1964 - 2018),2,Jan. 1965,1965-01-01 05:00:00+00:00
