,Date,The Soviet Union,The Space Race,Radiation and Atomic Science,Civil Rights,Student Activism and Counterculture,Vietnam,Spies and Sabotage,Crime and the Police
1,1961-11-01,56,6,62,9,2,18,7,5
2,1961-12-01,28,5,45,10,4,16,18,2
3,1962-01-01,15,14,32,3,5,7,15,4
4,1962-02-01,19,28,51,5,7,20,16,0
5,1962-03-01,13,20,57,2,2,10,2,1
6,1962-04-01,17,13,72,6,2,13,10,1
7,1962-05-01,5,14,37,1,9,11,4,2
8,1962-06-01,7,4,35,1,3,7,8,3
9,1962-07-01,15,17,52,12,2,10,18,0
10,1962-08-01,7,45,50,6,4,4,14,4
11,1962-09-01,7,15,27,9,34,14,17,3
12,1962-10-01,11,12,28,5,23,4,20,0
13,1962-11-01,21,11,60,2,4,4,11,1
14,1962-12-01,11,15,28,0,2,1,7,1
15,1963-01-01,20,7,24,2,1,4,1,0
16,1963-02-01,12,7,30,3,3,3,1,0
17,1963-03-01,19,6,30,5,0,3,5,1
18,1963-04-01,7,9,36,15,0,4,7,0
19,1963-05-01,25,27,22,51,1,7,8,0
20,1963-06-01,11,10,25,46,13,8,0,5
21,1963-07-01,34,6,62,53,2,13,9,0
22,1963-08-01,14,7,54,34,3,39,1,3
23,1963-09-01,18,7,43,23,2,52,3,2
24,1963-10-01,22,19,30,9,1,19,8,4
25,1963-11-01,37,10,15,23,2,30,2,0
26,1963-12-01,29,7,30,8,2,21,4,2
27,1964-01-01,14,4,17,14,5,16,3,2
28,1964-02-01,29,4,20,27,0,31,0,6
29,1964-03-01,9,3,8,29,1,38,0,6
30,1964-04-01,24,4,17,38,3,20,2,2
31,1964-05-01,13,7,14,32,5,49,2,6
32,1964-06-01,6,3,18,64,3,38,1,10
33,1964-07-01,10,4,12,98,2,30,3,2
34,1964-08-01,8,7,14,40,2,77,0,2
35,1964-09-01,20,3,21,17,1,61,0,7
36,1964-10-01,32,7,42,13,1,34,6,4
37,1964-11-01,28,1,20,12,1,44,2,5
38,1964-12-01,52,2,9,7,1,17,1,2
39,1965-01-01,10,3,12,16,3,44,4,2
40,1965-02-01,13,4,3,29,2,73,0,7
41,1965-03-01,17,16,12,45,4,63,3,10
42,1965-04-01,10,8,12,18,4,89,1,5
43,1965-05-01,9,7,17,20,7,65,7,9
44,1965-06-01,7,24,4,11,5,78,0,4
45,1965-07-01,15,8,30,37,2,80,2,8
46,1965-08-01,4,28,27,40,2,78,1,7
47,1965-09-01,10,8,24,8,3,80,0,3
48,1965-10-01,4,8,34,14,6,67,0,3
49,1965-11-01,11,4,21,10,4,66,4,9
50,1965-12-01,11,17,28,10,4,99,0,6
51,1966-01-01,3,2,25,13,6,86,0,4
52,1966-02-01,10,10,16,5,7,106,0,6
53,1966-03-01,12,10,19,15,2,75,0,10
54,1966-04-01,14,7,17,6,4,82,2,2
55,1966-05-01,5,9,22,11,7,89,1,4
56,1966-06-01,5,20,16,26,2,67,0,13
57,1966-07-01,1,14,15,46,4,68,2,1
58,1966-08-01,7,7,13,14,7,56,0,2
59,1966-09-01,9,9,5,30,2,66,0,4
60,1966-10-01,18,4,36,24,6,78,2,5
61,1966-11-01,13,7,18,22,2,49,2,3
62,1966-12-01,12,10,18,8,4,74,1,5
63,1967-01-01,21,12,13,11,5,80,1,5
64,1967-02-01,25,9,22,12,16,82,2,8
65,1967-03-01,23,1,18,13,9,99,3,14
66,1967-04-01,18,18,21,17,2,84,0,6
67,1967-05-01,13,7,26,11,4,108,1,13
68,1967-06-01,33,0,32,30,1,64,0,8
69,1967-07-01,11,4,23,65,5,65,0,8
70,1967-08-01,10,4,28,76,4,98,1,9
71,1967-09-01,20,3,25,14,12,87,0,4
72,1967-10-01,27,12,41,30,3,107,0,5
73,1967-11-01,11,6,18,17,3,95,0,13
74,1967-12-01,6,3,28,10,2,99,2,18
75,1968-01-01,12,5,36,10,5,89,1,11
76,1968-02-01,5,0,17,24,6,126,0,9
77,1968-03-01,5,8,12,34,3,135,0,4
78,1968-04-01,4,4,10,87,2,108,3,2
79,1968-05-01,8,2,12,21,36,106,0,12
80,1968-06-01,10,1,13,33,18,61,1,3
81,1968-07-01,20,3,25,27,5,58,0,8
82,1968-08-01,25,0,12,23,2,104,0,10
83,1968-09-01,29,7,22,24,12,70,6,22
84,1968-10-01,30,17,28,15,8,90,1,9
85,1968-11-01,22,7,22,12,9,84,1,13
86,1968-12-01,6,23,19,21,9,48,0,22
87,1969-01-01,18,8,29,1,9,73,5,17
88,1969-02-01,13,2,19,0,14,29,1,11
89,1969-03-01,18,23,37,8,11,70,3,13
90,1969-04-01,11,7,32,5,17,44,2,7
91,1969-05-01,10,23,25,1,23,60,0,11
92,1969-06-01,13,14,29,0,15,66,4,31
93,1969-07-01,12,61,27,0,6,37,1,8
94,1969-08-01,14,20,25,0,5,54,1,2
95,1969-09-01,8,9,39,1,14,87,0,17
96,1969-10-01,16,6,60,0,8,90,0,15
97,1969-11-01,4,31,38,0,13,110,1,14
98,1969-12-01,6,1,21,0,5,81,1,20
99,1970-01-01,9,5,28,5,5,36,0,15
100,1970-02-01,6,2,22,4,5,42,2,10
101,1970-03-01,4,3,19,18,7,52,0,8
102,1970-04-01,13,30,21,9,8,49,3,11
103,1970-05-01,11,1,21,17,31,144,0,5
104,1970-06-01,12,6,21,12,11,77,2,5
105,1970-07-01,9,6,29,15,13,42,0,9
106,1970-08-01,1,4,29,9,4,37,1,8
107,1970-09-01,2,7,19,12,10,25,0,10
108,1970-10-01,27,4,21,9,17,45,0,19
109,1970-11-01,18,6,18,1,11,35,0,6
110,1970-12-01,24,2,23,4,9,30,3,10
111,1971-01-01,27,5,19,10,3,41,0,18
112,1971-02-01,9,19,27,8,5,62,0,4
113,1971-03-01,8,5,33,5,10,79,1,9
114,1971-04-01,12,4,46,9,4,61,0,2
115,1971-05-01,30,1,31,6,5,48,1,8
116,1971-06-01,15,7,23,5,6,85,1,9
117,1971-07-01,12,15,27,11,6,65,1,12
118,1971-08-01,13,27,17,4,5,43,0,6
119,1971-09-01,21,4,21,1,4,44,7,7
120,1971-10-01,26,0,19,10,5,30,11,9
121,1971-11-01,24,2,41,5,8,31,3,5
122,1971-12-01,13,1,23,4,5,30,0,7
123,1972-01-01,13,5,10,5,4,38,0,16
124,1972-02-01,3,0,14,1,5,37,1,13
125,1972-03-01,9,2,13,7,4,15,0,16
126,1972-04-01,19,17,14,4,6,111,0,15
127,1972-05-01,27,12,21,2,5,89,1,20
128,1972-06-01,11,1,30,2,6,57,0,19
129,1972-07-01,7,7,11,4,6,57,0,9
130,1972-08-01,20,4,29,2,3,64,0,42
131,1972-09-01,20,2,13,0,3,40,0,21
132,1972-10-01,20,0,27,4,6,99,0,36
133,1972-11-01,9,2,30,1,4,79,1,10
134,1972-12-01,13,25,19,2,0,78,0,13
135,1973-01-01,7,1,10,0,1,94,0,11
136,1973-02-01,4,0,4,2,3,58,0,16
137,1973-03-01,3,1,4,0,2,47,1,11
138,1973-04-01,14,2,7,2,3,36,0,11
139,1973-05-01,8,11,7,1,4,31,0,7
140,1973-06-01,30,4,5,0,6,18,0,10
141,1973-07-01,9,4,7,2,1,13,1,11
142,1973-08-01,10,5,5,5,1,4,0,8
