,points
HAMLET,4042
That Championship Season (Play),2554
HAIR,2524
"CLOCKWORK ORANGE, A (FILM)",2044
"DUPLEX, THE",2043
THE AMERICAN TRIBAL-LOVE ROCK MUSICAL,2012
"HELLO, DOLLY!",1525
MUCH ADO ABOUT NOTHING,1522
LITTLE MURDERS,1520
VIVAT! VIVAT REGINA! (PLAY),1519
SPONONO,1514
FIDDLER ON THE ROOF,1509
MACBIRD!,1505
MOONCHILDREN,1022
"CHANGING ROOM, THE",1022
BOOK GLORY,1021
LOVE STORY,1021
"RIVER NIGER, THE",1021
Uncle Vanya (Play),1021
KADDISH (PLAY),1021
FAT CITY,1021
CABARET (FILM),1021
MARCO MILLIONS,1020
"PATRIOT FOR ME, A",1020
"GLASS MENAGERIE, THE",1020
"TO BE YOUNG, GIFTED AND BLACK (THE WORLD OF LORRAINE HANSBERRY)",1019
"FUNNY THING HAPPENED ON THE WAY TO THE FORUM, A",1019
WE BOMBED IN NEW HAVEN,1019
PIPPIN,1018
"COUNTRY WIFE, THE",1017
SHERWOOD ANDERSON'S MEMOIRS,1017
BOOK FIRE IN THE LAKE. THE VIETNAMESE AND THE AMERICAN IN VIETNAM,1017
OTHELLO,1016
"DON'T BOTHER ME, I CAN'T COPE",1016
AFTER THE FALL,1016
JULIET OF THE SPIRITS,1016
"ISAAC BABEL: THE LONELY YEARS, 1925-1939",1015
"ROTHSCHILDS, THE",1015
APOCALYPSIS CUM FIGURIS,1015
"BOYS IN THE BAND, THE",1015
DANTON'S DEATH,1014
BOOK THE COMING OF AGE,1014
CHLOE IN THE AFTERNOON,1014
CLAIRE'S KNEE,1014
ROOSEVELT AND FRANKFURTER. THEIR CORRESPONDENCE 1928-1945,1013
BOOK THE AMERICAN DISEASE. ORIGINS OF NARCOTIC CONTROL,1013
FINISHING TOUCHES,1013
PLAZA SUITE,1013
Fiddler on the Roof (Play),1013
MAX BEERBOHM'S LETTERS TO REGGIE TURNER,1013
BERTOLT BRECHT: COLLECTED PLAYS,1013
"BOOK HENRY JAMES. THE MASTER, 1901-1916",1012
"EXCEPTION AND THE RULE, THE",1012
LETTERS OF FORD MADOX FORD,1011
BOOK A THEORY OF JUSTICE,1011
"ME NOBODY KNOWS, THE",1011
SHAW. AN AUTOBIOGRAPHY 1856-1898,1010
PROMETHEUS BOUND,1009
RICHARD III,1008
"GODFATHER, THE",1008
THIS AMERICA,1007
"CUBAN THING, THE",1004
HAROLD NICOLSON. THE LATER YEARS 1945-1962. VOL III OF DIARIES AND LETTERS,1003
"NIGHT OF THE GENERALS, THE",1002
BOOK WORLD DYNAMICS,1001
"WILLIAMS, TENNESSEE",513
"DISCREET CHARM OF THE BOURGEOISIE, THE",511
YOUNGBLOOD HAWKE,511
BOOK SNOW‐WHITE AND THE SEVEN DWARFS. A TALE FROM THE BROTHERS GRIMM,511
BOOK THE BEST AND THE BRIGHTEST,511
KA MOUNTAIN AND GUARDENIA TERRACE,511
BOX-MAO-BOX,511
