,points
NEGROES,1129513
United Nations,640349
Democratic Party,633629
CONGRESS,609437
North Atlantic Treaty Organization,590340
Roman Catholic Church,437736
Republican Party,337569
NEW YORK CITY TRANSIT SYSTEM,330947
POLICE DEPARTMENT,327497
Supreme Court,294594
LEGISLATURE,159883
FOREIGN SERVICE,151332
European Economic Community,137386
NIXON ADMINISTRATION,132343
Senate,119559
House of Representatives,119478
Security Council,106172
POSTAL SERVICE,98851
FEDERAL,97924
Columbia University,72211
FIRE DEPARTMENT,70106
US SENATE,63406
UNION OF SOVIET SOCIALIST REPUBLICS,61860
"STATE, DEPARTMENT OF",60553
INTERNATIONAL MONETARY SYSTEM,59694
USSR BLOC,59594
POLICE,54049
JOHNSON ADMINISTRATION,52222
REPUB PARTY,51494
"JUSTICE, DEPARTMENT OF",50986
"HEALTH EDUCATION AND WELFARE, DEPARTMENT OF",50749
ECUMENICAL COUNCIL,50609
UNION OF SOVIET SOCIALIST REPUBLICS BLOC,47377
JOHNSON ADM,47353
"INTELLIGENCE AGENCY, CENTRAL",44414
National Committee,43901
CABINET,43576
CIVIL RIGHTS LEGIS,43416
CITY COUNCIL,41574
United States Navy,38753
Black Panther Party,37846
LOCAL GOVERNMENT,37492
INTERNATIONAL TELEPHONE & TELEGRAPH CORP,35307
"NEW YORK, CITY UNIV OF",35222
"LABOR, DEPARTMENT OF",34966
KENNEDY ADM,34576
National League,33303
AMERICAN LEAGUE,31741
CIVIL RIGHTS MOVEMENT,31599
"DEFENSE, DEPARTMENT OF",30503
"NEW YORK, CITY UNIVERSITY OF",28505
CRIMINAL COURT,28491
City College,26146
"INVESTIGATION, FEDERAL BUREAU OF",26025
"PRESS CLUB, NATIONAL",26001
AMERICAN FEDERATION OF LABOR-CONGRESS OF INDUSTRIAL ORGANIZATIONS,25503
FOREIGN RELATIONS AND SERVICE,24876
Stocks and Bonds,23489
"ECONOMIC OPPORTUNITY, OFFICE OF",23348
"AMERICAN STATES, ORGANIZATION OF",23012
FINANCES,22921
FIFTH AVENUE COACH LINES INC.,21514
DEM PARTY,21384
NEGROS,20382
"STOCK EXCHANGE, NY",19438
Harvard University,18922
Lincoln Center for the Performing Arts,18441
Commonwealth of Nations,18392
REPUB PARTY - CONV OPENS - GOLDWATER FORCES IN FIRM CONTROL - SCRANTON DRIVE FALTERS,17387
"TREASURY, DEPARTMENT OF THE",17234
"INTERNATIONAL DEVELOPMENT, AGENCY FOR",16831
FOREIGN OFFICE AND SERVICE,16800
"COLLEGES AND SECONDARY SCHOOLS, SOUTHERN ASSN OF",15850
SANITATION DEPARTMENT,15747
"NEW YORK, STATE UNIV OF",15313
Yale University,14847
"AERONAUTICS AND SPACE ADMINISTRATION, NATIONAL",14314
"TRADE CENTER, WORLD",13812
PENN CENTRAL CO.,13811
NATO ATLANTIC TREATY ORGANIZATION,13804
Kent State University,13727
"COMMERCE, DEPARTMENT OF",13665
REPUB PARTY - GOLDWATER WINS CALIF PRIMARY - MODERATES AT GOV'S CONF UNABLE TO UNITE TO STOP HIM - CONFUSION OVER EISENHOWER'S STAND - GOV SCRANTON ENTERS RACE,13321
ROTC,13313
"DEM PARTY - CONV - JOHNSON NOMINATED FOR PRES, HUMPHREY FOR VICE PRES",13297
Internal Revenue Service,13273
"INTERIOR, DEPARTMENT OF THE",13111
Ku Klux Klan,12801
"REPUB PARTY - CONV - GOLDWATER NOMINATED FOR PRES, REPR W E MILLER FOR VICE PRES - REACTION",12775
BUSINESS COUNCIL,12695
EUROPEAN COAL AND STEEL COMMUNITY,12296
GENERAL MOTORS CORP.,12261
ADMINISTRATION,12243
Liberal Party,12092
United States Military Academy,11768
LOCKHEED AIRCRAFT CORP.,11735
CONSERVATIVE PARTY,11585
"SOUTH ARABIA, FEDERATION OF",11262
"AGRICULTURE, DEPARTMENT OF",11140
"INFORMATION AGENCY, UNITED STATES",10690
PROTESTANT EPISCOPAL CHURCH,10238
"CALIFORNIA, UNIVERSITY OF",10233
"COLORED PEOPLE, NATIONAL ASSN FOR THE ADVANCEMENT OF",10218
COST OF LIVING COUNCIL,10163
CIVIL COURT,10156
"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",10112
"CALIFORNIA, UNIV OF",9730
"MINE WORKERS OF AMERICA, UNITED",9232
New York University,9214
Securities and Exchange Commission,9202
"NEW YORK CITY - INTERRACIAL CLASHES IN EAST NY AREA, BKLYN",9197
International Bank for Reconstruction and Development,9188
"URBAN AFFAIRS AND HOUSING, DEPARTMENT OF",9177
"TRANSPORTATION, DEPARTMENT OF",9081
YALE UNIV.,8708
"CHURCHES, WORLD COUNCIL OF",8705
HARYOU-ACT,8702
AMERICAN FEDERATION OF LABOR AND CONGRESS OF INDUSTRIAL ORGANIZATION,8689
"BAR ASSN, AMERICAN",8685
Ford Foundation,8672
LAW DEPARTMENT,8666
"VIOLENCE, NATIONAL COMMISSION ON THE CAUSES AND PREVENTION OF",8653
Atomic Energy Commission,8643
"NEW YORK, STATE UNIVERSITY OF",8641
Cornell University,8204
REPUB PARTY - NH AND OTHER PRIMARY CAMPAIGNS - AMB LODGE WINS NH PRIMARY WITH WRITE-IN,8199
MARINE CORPS,8184
INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,8170
Federal Reserve System,8143
"SECURITY COUNCIL, NATIONAL",8143
"MANAGEMENT AND BUDGET, OFFICE OF",8133
"HEALTH, EDUCATION AND WELFARE, DEPARTMENT OF",8131
JACKSON STATE COLLEGE,7680
REPUB PARTY - GOLDWATER CAMPAIGN - NYS UNITY FIGHT,7661
REPUB PARTY - PLEDGES OF SUPPORT,7660
"NEWSPAPER EDITORS, AMERICAN SOCIETY OF",7642
TRANSIT SYSTEMS,7642
Warsaw Pact,7168
"AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, UNITED",7153
PENNSYLVANIA NY CENTRAL TRANSPORTATION CO,7151
Western European Union,7148
Civil Rights Commission,7133
PORT OF NY AUTHORITY,7125
FAMILY COURT,7112
Queens College,6660
MOBILIZATION FOR YOUTH,6650
AMERICAN FEDERATION OF LABOR AND CONGRESS OF INDUSTRIAL ORGANIZATIONS,6648
"REPUB PARTY - ORGN - PLANS - HERSHEY, PA, UNITY CONF - OTHER UNITY GAINS",6645
MILITARY,6639
EDUC BD,6635
"ESTIMATE, BOARD OF",6601
POST OFFICE DEPARTMENT,6556
BROOKLYN COLLEGE,6150
United States Air Force Academy,6150
FAR EASTERN FRONT,6138
Council of Europe,6133
