,points
"Johnson, Lyndon Baines",796830
"Nixon, Richard Milhous",709013
"Kennedy, John Fitzgerald",311939
"LINDSAY, JOHN VLIET",304731
"Rockefeller, Nelson Aldrich",232982
POPE,205308
"WAGNER, ROBERT FERDINAND",156626
"RUSK, DEAN",119361
"Kennedy, Robert Francis",94644
"KHRUSHCHEV, NIKITA SERGEYEVICH",88654
"HUMPHREY, HUBERT HORATIO",87953
"Eisenhower, Dwight David",77000
THANT,55611
"BREZHNEV, LEONID ILYICH",54031
"AGNEW, SPIRO THEODORE",41155
"KOSYGIN, ALEKSEI NIKOLAYEVICH",39245
"GAULLE, CHARLES DE",38721
"GOLDBERG, ARTHUR J.",38608
"LAIRD, MELVIN ROBERT",36567
"GOLDWATER, BARRY MORRIS",35643
"Kennedy, Edward M",32067
"Nasser, Gamal Abdel",32042
"POWELL, ADAM CLAYTON JR.",31596
"MCNAMARA, ROBERT STRANGE",31567
"LODGE, HENRY CABOT",31057
"Brandt, Willy",30570
"JOHNSON, LYNDON B",30554
"Harriman, W Averell",30127
"ADENAUER, KONRAD",29460
"Stevenson, Adlai Ewing",29030
"King, Martin Luther Jr",28633
"ROMNEY, GEORGE WILCKEN",27975
Nguyen Cao Ky,25451
"Churchill, Winston Leonard Spencer",23523
"JORDAN, HASHEMITE KINGDOM OF",23016
"WALLACE, GEORGE CORLEY",22971
Nguyen Van Thieu,22397
"DIRKSEN, EVERETT MCKINLEY",21937
"POMPIDOU, GEORGES",21881
"TAYLOR, MAXWELL DAVENPORT",20402
"TRUMAN, HARRY S.",19881
"Castro, Fidel",19877
"HUGHES, HOWARD",19471
"Kissinger, Henry A",19317
"ALLILUYEVA, SVETLANA",18902
"ELIZABETH II, QUEEN OF THE UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND AND OF HER OTHER REALMS AND TERRITORIES AND HEAD OF THE COMMONWEALTH",18880
"Mansfield, Mike",18847
"WARREN, EARL",18817
"Muskie, Edmund S",18739
"ERHARD, LUDWIG",18335
MAO TSE-TUNG,16828
"Shanker, Albert",16332
"FULBRIGHT, JAMES WILLIAM",16316
"KING, MARTIN LUTHER JR.",16272
"McCarthy, Eugene J",16215
"Roosevelt, Franklin Delano",15819
"Johnson, Luci Baines",15644
"GROMYKO, ANDREI A",15307
Ho Chi Minh,15290
"GAULLE, CHARLES ANDRE JOSEPH MARIE DE",15267
"Meany, George",15193
"WILSON, JAMES HAROLD",14285
"Nehru, Jawaharlal",14273
"SPELLMAN, FRANCIS JOSEPH",14262
"ARMSTRONG, NEIL A.",13800
"PODGORNY, NIKOLAI VIKTOROVICH",13770
"Couve de Murville, Maurice",13766
"DUBCEK, ALEXANDER",12779
ISRAELI-ARAB CONFLICT,12773
"KENNEDY, EDWARD M.",12754
"Reagan, Ronald Wilson",12731
"HUGHES, RICHARD JOSEPH",12729
"Eban, Abba",12274
