,points
Politics and Government,4365862
Elections,3719194
Education and Schools,2891016
International Relations,2851350
LABOR,2795020
GENERAL,2501706
Finances,2391264
MILITARY ACTION,2304136
Taxation,2199468
"GENERAL POLICIES OF BELLIGERENTS, OTHER MAJOR POWERS",1891766
UNITED STATES ARMAMENT AND DEFENSE,1708178
ECONOMY,1670898
ASTRONAUTICS,1522668
Housing,1443942
Presidential Election of 1968,1421618
COMMERCE,1336112
Travel and Vacations,1172596
CANDIDATES,1162344
Courts,1154738
FEDERAL,1125688
Currency,1058270
ISRAELI-ARAB CONFLICT,1016648
Crime and Criminals,989440
Medicine and Health,979980
NEW YORK TIMES,973156
PRESIDENTIAL ELECTION OF '64,916872
EMPLOYES AND OFFICIALS,901282
AIRPLANES,863228
BUDGET,855504
AGRICULTURE AND AGRICULTURAL PRODUCTS,851782
CONGRESS,846928
Economic Conditions and Trends,832138
GROUND ACTION IN SOUTH,812940
Railroads,810298
Colleges and Universities,789048
AIRLINES,743212
Presidential Election of 1972,729416
APPOINTMENTS,728428
WELFARE WORK,719000
WEST,717692
SURVEYS AND SERIES OF ARTICLES,713286
TRAFFIC (VEHICULAR AND PEDESTRIAN) AND PARKING,692340
FOREIGN RELATIONS AND SERVICE,691460
ASPIRANTS,674658
Stocks and Bonds,661910
DEPARTMENTS AND AGENCIES,658384
ATOMIC ENERGY AND WEAPONS,647180
ARMAMENT,634438
"DRUG ADDICTION, ABUSE AND TRAFFIC",633106
Theater,605876
Income Tax,581768
DEATHS,569096
Law and Legislation,568998
Automobiles,561428
"ARMAMENT, DEFENSE AND MILITARY FORCES",525740
COMMUNIST-WESTERN CONFRONTATION,522102
VICE PRESIDENTS,520180
Credit,508978
AIR,497306
GOVERNOR,496212
NEWS AND NEWSPAPERS,494798
PEACE TALKS,491632
News and News Media,476418
PORTRAITS AND ILLUSTRATIONS,463090
Foreign Aid,462764
MAYOR,453392
Accidents and Safety,448796
MISSILES,447418
Horse Racing,436960
MOTION PICTURES,429248
TELEVISION AND RADIO,421284
EAST-WEST RELATIONS (GEN),417196
Ships and Shipping,414612
Murders and Attempted Murders,411336
ARMS CONTROL AND LIMITATION AND DISARMAMENT,411196
SOUTH,410402
PRICES,410402
NORTH,406468
Electric Light and Power,404682
ECONOMY AND FINANCES,399692
COMMUNISM,394186
AMERICAN NATIONS AND WESTERN HEMISPHERE POSSESSIONS,389020
Oil (Petroleum) and Gasoline,375882
Water,375518
FOOD AND GROCERY TRADE,371776
WAGES AND HOURS,359520
REVIEWS AND OTHER DATA ON SPECIFIC PRODUCTIONS,358614
ASSEMBLY,353774
RACIAL INTEGRATION - PROGRAMS FOR SOCIALLY HANDICAPPED,341914
Watergate Affair,341100
BUILDING,339376
UNITED STATES PROJECTS,331320
Horses,328094
RACIAL INTEGRATION,321520
URBAN AREAS OUTSIDE THE SOUTH,318652
Air Pollution,316130
RACES AND RACE HORSES,315210
"PRICES, PROFITS AND PRICE-WAGE-PROFIT RELATIONS",313556
PRESS RELATIONS,312676
Books and Literature,302260
BOOK REVIEWS,301482
STRATEGY,301298
Prisons and Prisoners,300944
SESSIONS,300900
Transit Systems,293860
Grain,289582
BANK,285146
TEACHERS AND SCHOOL SYSTEM EMPLOYES,283322
US PROJECTS (GENERAL),278378
ECONOMIC CONDITIONS,274386
Children and Youth,272894
SOCIAL CONDITIONS AND WELFARE,272580
MILITARY FORCES,272348
"ADDRESSES, LETTERS, PROCLAMATIONS AND STATEMENTS",269912
DELEGATES OF MEMBER NATIONS,263268
ANTIPOVERTY PROGRAMS,262834
Steel and Iron,257320
PASSENGER SERVICES,253584
REACTIONS IN US,245610
Baseball,238778
AIRPORTS,238570
EXPENSE BUDGET,237896
FARES,236040
MILITARY,232048
