11/1961,-----,-----,-----,-----,-----,-----
-----,DOMINICANS SACK TRUJILLO HOMES; CURFEW IMPOSED; Balaguer Calls for Order as Troops Enter Capital -- U.S. Ships Praised DOMINICANS SACK TRUJILLOS' HOMES,"mobs sack homes of Trujillo family members; illus; mil forces occupy capital to stop looting; curfew imposed; Balaguer dissolves Trujillo's Dominican party; says talks are under way on transition Govt; says Govt did not ask USN aid, but holds it has been beneficial",['Dominican Republic'],https://www.nytimes.com/1961/11/24/archives/dominicans-sack-trujillo-homes-curfew-imposed-balaguer-calls-for.html,1961-11-24,05:00:00+0000
-----,Eisenhower Visits With Truman; First Chat in Years Is Held in Library at Independence EISENHOWER PAYS CALL ON TRUMAN,"s, Kan City, Liberty Memorial rededication; has half-hr meeting with H S Truman and tours Truman Library with him; illus","['United States', 'KANSAS CITY, MO', 'TRUMAN, HARRY S, LIBRARY', 'TRUMAN, HARRY S.', 'Eisenhower, Dwight David', 'PRESIDENTS', 'MISCELLANEOUS SECTION', 'World War I (1914-18)']",https://www.nytimes.com/1961/11/11/archives/eisenhower-visits-with-truman-first-chat-in-years-is-held-in.html,1961-11-11,05:00:00+0000
-----,Governor Took Initiative In Separating From Wife; GOVERNOR BEGAN SEPARATION MOVE,Rockefeller reptdly does not think it will be obstacle; Sen Aiken comments,"['New York State', 'Rockefeller, Nelson Aldrich', 'Rockefeller, Nelson Aldrich', 'Stevenson, Adlai Ewing', 'Elections', 'GOVERNOR', 'MARRIAGE', 'RESIDENCES', ""PRESIDENTIAL ELECTION OF '64""]",https://www.nytimes.com/1961/11/19/archives/governor-took-initiative-in-separating-from-wife-governor-began.html,1961-11-19,05:00:00+0000
-----,TRADERS FORESEE BATTLE ON TARIFF; Plans for a Freer Policy Get Wide Support Here TRADERS FORESEE BATTLE ON TARIFF,hailed by foreign traders,"['United States', 'COMMERCE', 'MISCELLANEOUS SECTION']",https://www.nytimes.com/1961/11/03/archives/traders-foresee-battle-on-tariff-plans-for-a-freer-policy-get-wide.html,1961-11-03,05:00:00+0000
-----,Bonn Hints It May Drop Envoy Over Berlin 'Plan'; BONN HINTS ENVOY MAY BE DROPPED,"W Ger spokesman von Eckardt hints Kroll may be dismissed for 'unauthorized initiative' in talk with Khrushchev; speculation; Thompson reptdly defers exploratory talks, Moscow, until after Adenauer-Kennedy talks","['Germany', 'Germany', 'BERLIN', 'FOREIGN RELATIONS AND SERVICE', 'WEST', 'MISCELLANEOUS SECTION', 'MISCELLANEOUS SECTION']",https://www.nytimes.com/1961/11/14/archives/bonn-hints-it-may-drop-envoy-over-berlin-plan-bonn-hints-envoy-may.html,1961-11-14,05:00:00+0000
-----,15 Killed in Algeria As Extremist Mobs Step Up Assaults; 15 DIE IN ALGERIA AS VIOLENCE RISES,"15 dead, over 90 hurt in 2 days of violence involving Eurs and Moslems throughout Algeria; details; SAC sets 'protection brigades' to bar Moslem assaults on Eurs, clandestine broadcast","['ALGERIA', 'ALGERIA', 'TELEVISION AND RADIO']",https://www.nytimes.com/1961/11/27/archives/15-killed-in-algeria-as-extremist-mobs-step-up-assaults-15-die-in.html,1961-11-27,05:00:00+0000
-----,SOVIET INCREASES PRESSURE ON FINNS; Warns Envoy Tension Has Risen -- Helsinki Unlikely to Avoid Defense Talks SOVIET TIGHTENS SQUEEZE ON FINNS,visit used by USSR to increase pressure on Finland for mutual defense talks,"['Finland', 'North Atlantic Treaty Organization', 'GENERAL']",https://www.nytimes.com/1961/11/17/archives/soviet-increases-pressure-on-finns-warns-envoy-tension-has-risen.html,1961-11-17,05:00:00+0000
-----,5 ALGERIA CHIEFS END 20-DAY FAST; France to Shift Them From Prison -- Moroccan Plan Opens Way to Peace Talk 5 ALGERIAN CHIEFS END 20-DAY FAST,"5 rebel leaders end 20-day hunger strike, will be sent to convalescent home under Moroccan drs care; will live with Hassan repr but remain under French guard and adm; compromise credited to Hassan II; way seen open for peace talks",['ALGERIA'],https://www.nytimes.com/1961/11/21/archives/5-algeria-chiefs-end-20day-fast-france-to-shift-them-from-prison.html,1961-11-21,05:00:00+0000
-----,Silver Sale by Treasury Ended; President Seeks Support Repeal; KENNEDY CUTS OFF U.S. SILVER SALES,Pres Kennedy orders Treas to stop selling free silver and announces he will seek repeal of silver purchase legis; heavy indus demand and dwindling Govt supply linked; speculation on effects,"['United States', 'Kennedy, John Fitzgerald', 'Executive Orders', 'Currency', 'Silver']",https://www.nytimes.com/1961/11/29/archives/silver-sale-by-treasury-ended-president-seeks-support-repeal.html,1961-11-29,05:00:00+0000
-----,"BRITON PUTS FAITH IN NEGOTIATIONS; Lord Home Cool to Proposal on Berlin, but He Invites a Soviet 'Olive Branch' Home Puts Faith in Negotiations With Moscow on the Berlin Issue","LONDON, Nov. 10 -- Britain's Foreign Secretary emphasized tonight the Government's reliance on negotiation as a means of settling disputes over Berlin and other questions with the Soviet Union.  ",[],https://www.nytimes.com/1961/11/11/archives/briton-puts-faith-in-negotiations-lord-home-cool-to-proposal-on.html,1961-11-11,05:00:00+0000
