file,year,day,headline,print_section,abstract,keywords,time,url,copyright
./raw_data/1961/11-1961.json,1961,Nov. 01,WEST CONCERNED AT SOVIET DEMAND FOR FINNISH TALKS; U.S. Condemns 'Repugnant' Action -- Scandinavian Lands React Calmly WEST CONCERNED AT MOVE ON FINNS,Key Error,"Western nations see USSR demand for defense talks challenge to Swedish neutrality and to NATO members Norway and Denmark; US charges USSR seeks to sow confusion; Scandinavian nations reptd calm; Norway, Denmark, W Ger score USSR charges; Kekkonen, in Hawaii, confs with aides; illus","[{'value': 'Finland', 'points': 513}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/west-concerned-at-soviet-demand-for-finnish-talks-us-condemns.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,"A Talk by Van Fleet Disturbs Pentagon; Van Fleet's Speech on Berlin, Asia and Cuba Upsets Pentagon",Key Error,Gen Van Fleet quoted by Tampa Tribune as saying that W Berlin is lost to Communists and that neither W Ger nor France will support US in fight for city,"[{'value': 'United States', 'points': 513}, {'value': 'Cuba', 'points': 512}, {'value': 'Germany', 'points': 511}, {'value': 'BERLIN', 'points': 510}, {'value': 'Politics and Government', 'points': 509}, {'value': 'COMMUNISM ISSUE - THREATS TO DEMOCRACY', 'points': 508}, {'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'points': 507}, {'value': 'FORCES (GENERAL)', 'points': 506}, {'value': 'MISCELLANEOUS SECTION', 'points': 505}, {'value': 'MISCELLANEOUS SECTION', 'points': 504}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/a-talk-by-van-fleet-disturbs-pentagon-van-fleets-speech-on-berlin-a.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,City Hospitals Ban Use of Some Blood; CITY'S HOSPITALS BAN SOME BLOOD,Key Error,Comr Trussell orders NYC munic hosps not to use blood from commercial banks following charges that outdated and useless blood and plasma had been sold in NYC; US opens probe; situation discovered accidentally; outdated plasma reptd sent to Cuba,"[{'value': 'Blood', 'points': 513}, {'value': 'BANKS (GEN)', 'points': 512}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/city-hospitals-ban-use-of-some-blood-citys-hospitals-ban-some-blood.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,Gerosa Presses Drive on Mayor; GEROSA CONDEMNS MAYOR'S BACKERS,Key Error,"Controller Lawrence E. Gerosa aimed a bitter personal attack at the Mayor yesterday and charged that Mr. Wagner was controlled by ""liberals"" and pressure groups. Mr. Gerosa, who is the Citizens party candidate for Mayor, made appearances during the day before a Kiwanis Club group and a gath ering at Marymount College.","[{'value': 'New York City', 'points': 513}, {'value': 'New York City', 'points': 512}, {'value': 'New York City', 'points': 511}, {'value': 'New York City', 'points': 510}, {'value': 'GEROSA, LAWRENCE E.', 'points': 509}, {'value': 'Housing', 'points': 508}, {'value': 'Finances', 'points': 507}, {'value': 'EXPENSE BUDGET', 'points': 506}, {'value': 'Elections', 'points': 505}, {'value': 'MAYOR', 'points': 504}, {'value': 'Taxation', 'points': 503}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/gerosa-presses-drive-on-mayor-gerosa-condemns-mayors-backers.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,MAYOR SEES RACE AS NATIONAL TEST; Says G.O.P. Seeks to Build Opposition to Kennedy's Social Reform Plans MAYOR SEES RACE AS NATIONAL TEST,Key Error,Mayor Wagner says Repubs try to make NYC mayoral election direct challenge to Kennedy Adm domestic program headed by aid to aged,"[{'value': 'United States', 'points': 513}, {'value': 'New York City', 'points': 512}, {'value': 'New York City', 'points': 511}, {'value': 'New York City', 'points': 510}, {'value': 'United States', 'points': 509}, {'value': 'KENNEDY ADM', 'points': 508}, {'value': 'NEW YORK, CITY UNIV OF', 'points': 507}, {'value': 'TENNEY, CHARLES H.', 'points': 506}, {'value': 'Children and Youth', 'points': 505}, {'value': 'GENERAL', 'points': 504}, {'value': 'Politics and Government', 'points': 503}, {'value': 'Elections', 'points': 502}, {'value': 'GENERAL', 'points': 501}, {'value': 'MISCELLANEOUS SECTION', 'points': 500}, {'value': 'EMPLOYES AND OFFICIALS', 'points': 499}, {'value': 'Elections', 'points': 498}, {'value': 'MAYOR', 'points': 497}, {'value': 'Medicine and Health', 'points': 496}, {'value': 'HEALTH AND HOSP INS AND RELATED GOVT AID', 'points': 495}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/mayor-sees-race-as-national-test-says-gop-seeks-to-build-opposition.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,Front Page 1 -- No Title,Key Error,,[],05:00:00,https://www.nytimes.com/1961/11/01/archives/front-page-1-no-title.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,MILK PROFITEERS FACE CITY ACTION; Mayor Doubles Inspections -- New Joint Talks Set Milk Profiteers Here Facing Crackdown by 3 City Agencies,Key Error,both sides agree to resume talks after appeal from Wagner; 'bootleg' milk prevalent,"[{'value': 'NEW YORK CITY AND METROPOLITAN AREA', 'points': 513}, {'value': 'NEW YORK CITY AND METROPOLITAN AREA', 'points': 512}, {'value': 'MILK AND MILK PRODUCTS', 'points': 511}, {'value': 'PRICES', 'points': 510}, {'value': 'MILK AND MILK PRODUCTS', 'points': 509}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/milk-profiteers-face-city-action-mayor-doubles-inspections-new.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,Soviet Fires 2 More Blasts In Nuclear Series in Arctic; SOVIET SETS OFF TWO MORE BLASTS,Key Error,"AEC repts 2 blasts, Novaya Zemlya; Khrushchev reptdly told restricted meeting of Communist party conf 50-megaton blast 'proved somewhat bigger than scientists calculated'; reptdly joked about 'mistake,'","[{'value': 'UNION OF SOVIET SOCIALIST REPUBLICS', 'points': 513}, {'value': 'ATOMIC ENERGY AND WEAPONS', 'points': 512}, {'value': 'WEAPONS (GEN)', 'points': 511}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/soviet-fires-2-more-blasts-in-nuclear-series-in-arctic-soviet-sets.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,Kennedy's Visit to Area Laid to Democratic 'Panic'; G.O.P. SAYS RIVALS NEED KENNEDY AID,Key Error,Albany,"[{'value': 'New York City', 'points': 513}, {'value': 'New York City', 'points': 512}, {'value': 'New Jersey', 'points': 511}, {'value': 'Kennedy, John Fitzgerald', 'points': 510}, {'value': 'Rockefeller, Nelson Aldrich', 'points': 509}, {'value': 'Elections', 'points': 508}, {'value': 'MAYOR', 'points': 507}, {'value': 'Elections', 'points': 506}, {'value': 'MAYOR', 'points': 505}, {'value': 'Elections', 'points': 504}, {'value': 'GOV', 'points': 503}, {'value': 'Travel and Vacations', 'points': 502}, {'value': 'PRESS RELATIONS', 'points': 501}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/kennedys-visit-to-area-laid-to-democratic-panic-gop-says-rivals.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,PRESSURE GROWS FOR U.S. TO RESUME A-TESTS IN THE AIR; Continued Blasts by Soviet Stir Concern Over Russian Advances in Weapons BRITISH SUPPORT SEEN Backing by Macmillan Cited as Key Factor in Capital's Weighing of Policy Shift Pressure Grows in Capital for U.S. Resumption of Nuclear Tests in Atmosphere SOVIET PROGRESS IN WEAPONS CITED Statement by Macmillan Is Viewed as Major Support for Change in Policy,Key Error,continuation of tests seen heightening US concern over possible gains in arms development,"[{'value': 'United States', 'points': 513}, {'value': 'United States', 'points': 512}, {'value': 'UNION OF SOVIET SOCIALIST REPUBLICS', 'points': 511}, {'value': 'ATOMIC ENERGY AND WEAPONS', 'points': 510}, {'value': 'SUBSURFACE BLASTS', 'points': 509}, {'value': 'ATOMIC ENERGY AND WEAPONS', 'points': 508}, {'value': 'ATOMIC ENERGY AND WEAPONS', 'points': 507}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/pressure-grows-for-us-to-resume-atests-in-the-air-continued-blasts.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,"U.S. SUES TO BLOCK MISSISSIPPI FIGHT ON NEW I.C.C. RULE; Moves to Bar Interference With Bus-Rail Integration Taking Effect Today STATE LAWS ATTACKED Federal Judge Refuses to Issue an Injunction, but Agrees to a Hearing U.S. Sues to Block Interference By Mississippi With I.C.C. Rule",Key Error,"Justice Dept sues to block enforcement of Miss bus and rr segregation laws; Fed Dist Ct refuses temporary ban but agrees to ask 3-judge ct to hear suit; suit arose from Greyhound efforts to remove racial signs from terminals; ICC to join Dept as plaintiff; Winona and Grenada to desegregate waiting rooms in Trailways terminals, Jackson and Vicksburg to maintain segregation; Ga PSC asks Fed Dist Ct to set aside ICC rule; Negroes to test enforcement of rule under CORE auspices","[{'value': 'United States', 'points': 513}, {'value': 'SOUTH', 'points': 512}, {'value': 'NEGROES', 'points': 511}, {'value': 'Transportation', 'points': 510}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/us-sues-to-block-mississippi-fight-on-new-icc-rule-moves-to-bar.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,BRITAIN IS WILLING TO JOIN IN TESTS; Macmillan Says Additional Trials May Be Needed to Forestall Aggression BRITAIN WILLING TO JOIN IN TESTS,Key Error,"LONDON, Oct. 31 -- The United States and Britain are prepared to test such nuclear weapons as the anti-missile missile if the tests are necessary to forestall aggression, Prime Minister Macmillan said today.","[{'value': 'Great Britain', 'points': 513}, {'value': 'Great Britain', 'points': 512}, {'value': 'Great Britain', 'points': 511}, {'value': 'United States', 'points': 510}, {'value': 'Great Britain', 'points': 509}, {'value': 'United States', 'points': 508}, {'value': 'MISCELLANEOUS SECTION', 'points': 507}, {'value': 'North Atlantic Treaty Organization', 'points': 506}, {'value': 'ELIZABETH II, QUEEN OF THE UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND AND OF HER OTHER REALMS AND TERRITORIES AND HEAD OF THE COMMONWEALTH', 'points': 505}, {'value': 'Politics and Government', 'points': 504}, {'value': 'Politics and Government', 'points': 503}, {'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'points': 502}, {'value': 'International Relations', 'points': 501}, {'value': 'BIG POWERS (FRANCE, GB, USSR AND US) MUTUAL RELATIONS AND COLD WAR', 'points': 500}, {'value': 'EAST-WEST RELATIONS (GEN)', 'points': 499}, {'value': 'ATOMIC ENERGY AND WEAPONS', 'points': 498}, {'value': 'TESTS OF WEAPONS (GEN)', 'points': 497}, {'value': 'ATOMIC ENERGY AND WEAPONS', 'points': 496}, {'value': 'WEAPONS (GEN)', 'points': 495}, {'value': 'MILITARY FORCES', 'points': 494}, {'value': 'ARMY', 'points': 493}, {'value': 'MISSILES', 'points': 492}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/britain-is-willing-to-join-in-tests-macmillan-says-additional.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
./raw_data/1961/11-1961.json,1961,Nov. 01,"Augustus John, Portraitist, Dies At 83 in His Home in England; Shaw, Yeats and Joyce Were Among Notables Who Sat for Famed Nonconformist Augustus John, British Painter, Is Dead",Key Error,"John, Augustus","[{'value': 'JOHN, AUGUSTUS E', 'points': 513}, {'value': 'JOHN, AUGUSTUS', 'points': 512}, {'value': 'Art', 'points': 511}, {'value': 'MISCELLANEOUS NEWS AND ARTICLES', 'points': 510}, {'value': 'DEATHS', 'points': 509}]",05:00:00,https://www.nytimes.com/1961/11/01/archives/augustus-john-portraitist-dies-at-83-in-his-home-in-england-shaw.html,Copyright (c) 2020 The New York Times Company. All Rights Reserved.
